	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
84	joker (image)	image	e4e	quality	0.302978515625	quality/joker/ViT-B-32,	ViT-B-32
85	joker (image)	image	e4e	diversity	0.1163330078125	diversity/joker/ViT-B-32,	ViT-B-32
86	joker (image)	image	e4e	quality	0.311279296875	quality/joker/ViT-B-16,	ViT-B-16
87	joker (image)	image	e4e	diversity	0.12548828125	diversity/joker/ViT-B-16,	ViT-B-16
88	joker (image)	image	fse	quality	0.30126953125	quality/joker/ViT-B-32,	ViT-B-32
89	joker (image)	image	fse	diversity	0.11614990234375	diversity/joker/ViT-B-32,	ViT-B-32
90	joker (image)	image	fse	quality	0.30419921875	quality/joker/ViT-B-16,	ViT-B-16
91	joker (image)	image	fse	diversity	0.1304931640625	diversity/joker/ViT-B-16,	ViT-B-16
92	joker (image)	image	fse_with_features	quality	0.270751953125	quality/joker/ViT-B-32,	ViT-B-32
93	joker (image)	image	fse_with_features	diversity	0.25732421875	diversity/joker/ViT-B-32,	ViT-B-32
94	joker (image)	image	fse_with_features	quality	0.27294921875	quality/joker/ViT-B-16,	ViT-B-16
95	joker (image)	image	fse_with_features	diversity	0.249755859375	diversity/joker/ViT-B-16,	ViT-B-16
96	joker (image)	image	fse_with_generator_shift	quality	0.29443359375	quality/joker/ViT-B-32,	ViT-B-32
97	joker (image)	image	fse_with_generator_shift	diversity	0.1392822265625	diversity/joker/ViT-B-32,	ViT-B-32
98	joker (image)	image	fse_with_generator_shift	quality	0.302490234375	quality/joker/ViT-B-16,	ViT-B-16
99	joker (image)	image	fse_with_generator_shift	diversity	0.1453857421875	diversity/joker/ViT-B-16,	ViT-B-16
100	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	quality	0.2423095703125	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
101	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	diversity	0.265869140625	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
102	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	quality	0.1654052734375	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
103	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	diversity	0.2449951171875	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
104	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	quality	0.23583984375	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
105	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	diversity	0.256591796875	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
106	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	quality	0.149169921875	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
107	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	e4e	diversity	0.234130859375	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
108	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	quality	0.23779296875	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
109	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	diversity	0.2476806640625	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
110	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	quality	0.153076171875	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
111	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse	diversity	0.229736328125	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
112	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	quality	0.228515625	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
113	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	diversity	0.33447265625	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
114	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	quality	0.1466064453125	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
115	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_features	diversity	0.299072265625	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
116	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	quality	0.2327880859375	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
117	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	diversity	0.3212890625	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-32,	ViT-B-32
118	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	quality	0.149169921875	quality/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
119	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	fse_with_generator_shift	diversity	0.290771484375	diversity/oliver_wetter_corie_lynn_concept_final_back_web/ViT-B-16,	ViT-B-16
