	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
135	rain_artwork_dtiyschallennge (image)	image	fse	diversity	0.1993408203125	diversity/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
136	rain_artwork_dtiyschallennge (image)	image	fse_with_features	quality	0.6298828125	quality/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
137	rain_artwork_dtiyschallennge (image)	image	fse_with_features	diversity	0.29150390625	diversity/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
138	rain_artwork_dtiyschallennge (image)	image	fse_with_generator_shift	quality	0.666015625	quality/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
139	rain_artwork_dtiyschallennge (image)	image	fse_with_generator_shift	diversity	0.2646484375	diversity/rain_artwork_dtiyschallennge/ViT-B-32,	ViT-B-32
140	mermaid (image)	image	orig	quality	0.81494140625	quality/mermaid/ViT-B-32,	ViT-B-32
141	mermaid (image)	image	orig	diversity	0.2003173828125	diversity/mermaid/ViT-B-32,	ViT-B-32
142	mermaid (image)	image	e4e	quality	0.82373046875	quality/mermaid/ViT-B-32,	ViT-B-32
143	mermaid (image)	image	e4e	diversity	0.163818359375	diversity/mermaid/ViT-B-32,	ViT-B-32
144	mermaid (image)	image	fse	quality	0.8173828125	quality/mermaid/ViT-B-32,	ViT-B-32
145	mermaid (image)	image	fse	diversity	0.17236328125	diversity/mermaid/ViT-B-32,	ViT-B-32
146	mermaid (image)	image	fse_with_features	quality	0.69287109375	quality/mermaid/ViT-B-32,	ViT-B-32
147	mermaid (image)	image	fse_with_features	diversity	0.290283203125	diversity/mermaid/ViT-B-32,	ViT-B-32
148	mermaid (image)	image	fse_with_generator_shift	quality	0.7548828125	quality/mermaid/ViT-B-32,	ViT-B-32
149	mermaid (image)	image	fse_with_generator_shift	diversity	0.2445068359375	diversity/mermaid/ViT-B-32,	ViT-B-32
150	truc_huynh_hex_009v2 (image)	image	orig	quality	0.78125	quality/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
151	truc_huynh_hex_009v2 (image)	image	orig	diversity	0.24365234375	diversity/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
152	truc_huynh_hex_009v2 (image)	image	e4e	quality	0.771484375	quality/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
153	truc_huynh_hex_009v2 (image)	image	e4e	diversity	0.2412109375	diversity/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
154	truc_huynh_hex_009v2 (image)	image	fse	quality	0.7529296875	quality/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
155	truc_huynh_hex_009v2 (image)	image	fse	diversity	0.244873046875	diversity/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
156	truc_huynh_hex_009v2 (image)	image	fse_with_features	quality	0.67236328125	quality/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
157	truc_huynh_hex_009v2 (image)	image	fse_with_features	diversity	0.31787109375	diversity/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
158	truc_huynh_hex_009v2 (image)	image	fse_with_generator_shift	quality	0.69970703125	quality/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
159	truc_huynh_hex_009v2 (image)	image	fse_with_generator_shift	diversity	0.30224609375	diversity/truc_huynh_hex_009v2/ViT-B-32,	ViT-B-32
160	speed_paint (image)	image	orig	quality	0.78076171875	quality/speed_paint/ViT-B-32,	ViT-B-32
161	speed_paint (image)	image	orig	diversity	0.254150390625	diversity/speed_paint/ViT-B-32,	ViT-B-32
162	speed_paint (image)	image	e4e	quality	0.79296875	quality/speed_paint/ViT-B-32,	ViT-B-32
163	speed_paint (image)	image	e4e	diversity	0.234375	diversity/speed_paint/ViT-B-32,	ViT-B-32
164	speed_paint (image)	image	fse	quality	0.77099609375	quality/speed_paint/ViT-B-32,	ViT-B-32
165	speed_paint (image)	image	fse	diversity	0.24853515625	diversity/speed_paint/ViT-B-32,	ViT-B-32
166	speed_paint (image)	image	fse_with_features	quality	0.64990234375	quality/speed_paint/ViT-B-32,	ViT-B-32
167	speed_paint (image)	image	fse_with_features	diversity	0.35205078125	diversity/speed_paint/ViT-B-32,	ViT-B-32
168	speed_paint (image)	image	fse_with_generator_shift	quality	0.6904296875	quality/speed_paint/ViT-B-32,	ViT-B-32
169	speed_paint (image)	image	fse_with_generator_shift	diversity	0.32861328125	diversity/speed_paint/ViT-B-32,	ViT-B-32
170	naufal_ilyasa_seraphine_ig_full_res (image)	image	orig	quality	0.69775390625	quality/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
171	naufal_ilyasa_seraphine_ig_full_res (image)	image	orig	diversity	0.283935546875	diversity/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
172	naufal_ilyasa_seraphine_ig_full_res (image)	image	e4e	quality	0.69091796875	quality/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
173	naufal_ilyasa_seraphine_ig_full_res (image)	image	e4e	diversity	0.271240234375	diversity/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
174	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse	quality	0.68603515625	quality/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
175	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse	diversity	0.275146484375	diversity/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
176	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse_with_features	quality	0.6376953125	quality/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
177	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse_with_features	diversity	0.328369140625	diversity/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
178	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse_with_generator_shift	quality	0.65625	quality/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
179	naufal_ilyasa_seraphine_ig_full_res (image)	image	fse_with_generator_shift	diversity	0.317626953125	diversity/naufal_ilyasa_seraphine_ig_full_res/ViT-B-32,	ViT-B-32
180	rich_d_amaru_studyfinal (image)	image	orig	quality	0.76220703125	quality/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
181	rich_d_amaru_studyfinal (image)	image	orig	diversity	0.249755859375	diversity/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
182	rich_d_amaru_studyfinal (image)	image	e4e	quality	0.7529296875	quality/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
183	rich_d_amaru_studyfinal (image)	image	e4e	diversity	0.2413330078125	diversity/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
184	rich_d_amaru_studyfinal (image)	image	fse	quality	0.7431640625	quality/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
185	rich_d_amaru_studyfinal (image)	image	fse	diversity	0.25830078125	diversity/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
186	rich_d_amaru_studyfinal (image)	image	fse_with_features	quality	0.626953125	quality/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
187	rich_d_amaru_studyfinal (image)	image	fse_with_features	diversity	0.345703125	diversity/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
188	rich_d_amaru_studyfinal (image)	image	fse_with_generator_shift	quality	0.66650390625	quality/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
189	rich_d_amaru_studyfinal (image)	image	fse_with_generator_shift	diversity	0.3251953125	diversity/rich_d_amaru_studyfinal/ViT-B-32,	ViT-B-32
190	ricardo_viana_render2 (image)	image	orig	quality	0.73486328125	quality/ricardo_viana_render2/ViT-B-32,	ViT-B-32
191	ricardo_viana_render2 (image)	image	orig	diversity	0.2366943359375	diversity/ricardo_viana_render2/ViT-B-32,	ViT-B-32
192	ricardo_viana_render2 (image)	image	e4e	quality	0.7255859375	quality/ricardo_viana_render2/ViT-B-32,	ViT-B-32
193	ricardo_viana_render2 (image)	image	e4e	diversity	0.214111328125	diversity/ricardo_viana_render2/ViT-B-32,	ViT-B-32
194	ricardo_viana_render2 (image)	image	fse	quality	0.71728515625	quality/ricardo_viana_render2/ViT-B-32,	ViT-B-32
195	ricardo_viana_render2 (image)	image	fse	diversity	0.2252197265625	diversity/ricardo_viana_render2/ViT-B-32,	ViT-B-32
196	ricardo_viana_render2 (image)	image	fse_with_features	quality	0.64599609375	quality/ricardo_viana_render2/ViT-B-32,	ViT-B-32
