	s_domain	encoder_type	metric_name	metric_value
162	remi_castaneda_sean_connery_final	orig	quality/remi_castaneda_sean_connery_final/ViT-B-16,	0.29345703125
163	remi_castaneda_sean_connery_final	orig	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	0.2381591796875
164	remi_castaneda_sean_connery_final	e4e	quality/remi_castaneda_sean_connery_final/ViT-B-32,	0.276611328125
165	remi_castaneda_sean_connery_final	e4e	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	0.2393798828125
166	remi_castaneda_sean_connery_final	e4e	quality/remi_castaneda_sean_connery_final/ViT-B-16,	0.28369140625
167	remi_castaneda_sean_connery_final	e4e	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	0.21923828125
168	remi_castaneda_sean_connery_final	fse	quality/remi_castaneda_sean_connery_final/ViT-B-32,	0.27392578125
169	remi_castaneda_sean_connery_final	fse	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	0.2464599609375
170	remi_castaneda_sean_connery_final	fse	quality/remi_castaneda_sean_connery_final/ViT-B-16,	0.279052734375
171	remi_castaneda_sean_connery_final	fse	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	0.2301025390625
172	remi_castaneda_sean_connery_final	fse_with_features	quality/remi_castaneda_sean_connery_final/ViT-B-32,	0.258544921875
173	remi_castaneda_sean_connery_final	fse_with_features	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	0.322265625
174	remi_castaneda_sean_connery_final	fse_with_features	quality/remi_castaneda_sean_connery_final/ViT-B-16,	0.253662109375
175	remi_castaneda_sean_connery_final	fse_with_features	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	0.296630859375
176	remi_castaneda_sean_connery_final	fse_with_generator_shift	quality/remi_castaneda_sean_connery_final/ViT-B-32,	0.265625
177	remi_castaneda_sean_connery_final	fse_with_generator_shift	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	0.2861328125
178	remi_castaneda_sean_connery_final	fse_with_generator_shift	quality/remi_castaneda_sean_connery_final/ViT-B-16,	0.26904296875
179	remi_castaneda_sean_connery_final	fse_with_generator_shift	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	0.265625
